machine_id,test_id,technician,test_routine,batched,loc_1_x_offset,loc_1_y_offset,loc_1_z_offset,loc_2_x_offset,loc_2_y_offset,loc_2_z_offset
Machine_13,15ce86ab99b3490c96ee855c8347e66b,Jennifer Green,"['d', 'f', 'c', 'b', 'e']",N/A,14.27,0.295528,3072,10.12,0.953938,4681
Machine_23,efabe31a552649698f04c5e251a88112,Stephanie Collins,"['a', 'c', 'd', 'e', 'f', 'b']",No,-4.78,0.579363,4453,0.66,0.65304,4747
Machine_01,876c727a38274fe59353a76289553a6a,Ryan Page,"['f', 'a', 'd', 'b', 'e', 'c']",N/A,13.8,0.961564,4824,-7.3,0.842194,4724
Machine_15,84f2c6cb19a04fa0ad9dd135ca10b7af,Willie Golden,"['a', 'c', 'e', 'd']",Yes,3.42,0.83826,4970,3.75,0.466604,2875
Machine_20,76faffd74aab4d189876df0249fb3a87,Emily Allen,"['b', 'f']",Yes,5.84,0.499678,2782,-12.86,0.91936,3112
Machine_02,fb5b524b3a8441ba86522a84cd5e4b66,Stephanie Leblanc,"['f', 'd', 'c', 'e', 'a']",Yes,14.86,0.607854,3627,0.63,0.86374,3828
Machine_20,f3283b7bd35343d1bdeb8d65f44a180f,Kevin Rogers,"['b', 'a']",N/A,-6.14,0.390133,3198,-4.54,0.105494,3099
Machine_23,50be86ac340545b191dad35012085fcb,Robert Walters,"['e', 'a', 'f', 'd', 'c']",N/A,12.73,0.410212,2874,-3.14,0.634917,2588
Machine_07,0347d127401044febf02664a3ca7d631,Cathy Martinez,"['f', 'a']",N/A,-14.69,0.650746,2915,12.33,0.231556,2794
Machine_21,b286f32552a64698b85615ba7c25e9dc,Jeffrey Brown,"['a', 'e', 'f', 'c']",No,-8.33,0.94833,4426,12.72,0.731588,3333
Machine_25,27bbbafac12744ea8670156afa19500a,Michael Bruce,"['e', 'c', 'a']",N/A,0.85,0.13845,4431,7.52,0.680456,3962
Machine_13,922c0c4f7cd54c9f8617a8e92a17f77c,Danielle Castro,['d'],N/A,-12.42,0.57076,3650,-10.3,0.369335,4999
Machine_10,086e24037c424e2f839a20f2be1a0d26,Leslie Mcclain,"['b', 'c', 'd', 'e', 'f']",N/A,-12.0,0.732517,3869,-9.3,0.668361,4335
Machine_13,b482593d703d40faa7b55328c2b70cd2,Megan Baxter,['d'],N/A,4.53,0.173722,4324,-12.33,0.468047,4660
Machine_16,041b3ffce36645708eb42f8ad7665420,Lindsey Smith,['d'],No,-5.59,0.848346,4200,-8.7,0.878128,3034
